# Originally from UniProt known kinase list, but kinase.com may use alternative
# name for different kinases. For some kinases, there are alternative names
# with the same Uniprot id., or name with different cases.
AAK1 Q2M2I8 
PKG2 Q13237
PRKX P51817	
PRKY O43930	
PRPF4B Q13523 
PRP4 Q13523
PSKH1 P11801	
PSKH2 Q96QS6	
PTK2B Q14289 
PYK2 Q14289
PTK2 Q05397 
FAK Q05397
FAM198A Q9UFP1
FAM198B Q6UWH4
FAM20A Q96MK3
FAM20a Q96MK3
UNQ9388 Q96MK3
FAM20B O75063
FAM20b O75063
FAM20C Q8IXL6
FAM20c Q8IXL6
DMP4 Q8IXL6
PTK6 Q13882 
BRK Q13882
PTK7 Q13308 
CCK4 Q13308
PXK Q7Z7A4 
Slob Q7Z7A4
RAF1 P04049 
RET P07949 
RIOK1 Q9BRS2 
RIOK2 Q9BVS4 
RIOK3 O14730 
RIPK1 Q13546 
RIPK2 O43353 
RIPK3 Q9Y572 
RIPK4 P57078 
ANKRD3 P57078
RNASEL Q05823 
ROCK1 Q13464	
ROCK2 O75116	
ROR1 Q01973 
ROR2 Q01974 
ROS1 P08922 
ROS P08922
RPS6KA1 Q15418
RSK3a Q15418
RSK3b Q15418
RPS6KA2 Q15349	
RSK1a Q15349
RSK1b Q15349
RPS6KA3 P51812	
RSK2a P51812
RSK2b P51812
RPS6KA4 O75676	
MSK2 O75676
MSK2a O75676
MSK2b O75676
RPS6KA5 O75582	
MSK1a O75582
MSK1b O75582
MSK1 O75582
RPS6KA6 Q9UK32	
RSK4a Q9UK32
RSK4b Q9UK32
RSK4 Q9UK32
RPS6KB1 P23443	
p70S6K P23443
RPS6KB2 Q9UBS0	
p70S6Kb Q9UBS0
RPS6KC1 Q96S38 
RSKL1 Q96S38
RPS6KL1 Q9Y6S9 
RSKL2 Q9Y6S9
RYK P34925 
SBK1 Q52WX2 
SBK Q52WX2
SBK2 P0C263 
SgK069 P0C263
SBK3 P0C264 
SgK110 P0C264
SCYL1 Q96KG9 
SCYL2 Q6P3W7 
SCYL3 Q8IZE3 
SGK1 O00141	
SGK2 Q9HBY8	
SGK3 Q96BR1	
SGK494 Q96LW2 
SgK494 Q96LW2
SIK1B A0A0B4J2F2
SIK1 P57059	
SIK P57059
SIK2 Q9H0K1	
QIK Q9H0K1
SIK3 Q9Y2K2	
QSK Q9Y2K2
SLK Q9H2G2 
SMG1 Q96Q15 
Smok1 Q9QYZ4
Smok2a Q9QYZ6
Smok2b Q9QYZ3
Smok3a C0HKC8
Smok3b C0HKC9
Smoktcr A2KF29
SNRK Q9NRH2	
SPEG Q15772	
SPEG1 Q15772
SPEG2 Q15772
SPEGa Q15772
SPEGb Q15772
SRC P12931 
SRMS Q9H3Y6 
SRM Q9H3Y6
SRPK1 Q96SB4 
SRPK2 P78362 
SRPK3 Q9UPE1 
MSSK1 Q9UPE1
STK10 O94804 
LOK O94804
STK11 Q15831	
LKB1 Q15831
STK16 O75716
MPSK1 O75716
STK17A Q9UEE5	
DRAK1 Q9UEE5
STK17B O94768	
DRAK2 O94768
STK24 Q9Y6E0 
MST3 Q9Y6E0
STK25 O00506 
YSK1 O00506
STK26 Q9P289 
MST4 Q9P289
STK31 Q9BXU1 
SgK396 Q9BXU1
STK32A Q8WU08 
YANK1 Q8WU08
STK32B Q9NY57
YANK2 Q9NY57 
STK32C Q86UX6 
YANK3 Q86UX6
STK33 Q9BYT3	
STK35 Q8TDR2 
CLIK1 Q8TDR2
STK36 Q9NRP7 
Fused Q9NRP7
STK38L Q9Y2H1	
NDR2 Q9Y2H1
STK38 Q15208	
NDR1 Q15208
STK39 Q9UEW8 
STK3 Q13188 
MST2 Q13188
STK40 Q8N2I9	
SgK495 Q8N2I9
STK4 Q13043 
MST1 Q13043
STKLD1 Q8NE28 
SgK071 Q8NE28
Stk-ps2 		 
STRADA Q7RTN6 
STLK5 Q7RTN6
STRADB Q9C0K7
STLK6 Q9C0K7
ILPIP Q9C0K7
PAPK Q9C0K7
STYK1 Q6J9G0 
SuRTK106 Q6J9G0
SYK P43405 
TAOK1 Q7L7X3 
TAO1 Q7L7X3
TAOK2 Q9UL54 
TAO2 Q9UL54
TAOK3 Q9H2K8 
TAO3 Q9H2K8
TBCK Q8TEA7 
TBK1 Q9UHD2 
TEC P42680 
TEK Q02763 
TIE2 Q02763
TESK1 Q15569 
TESK2 Q96S53 
TEX14 Q8IWB6 
SgK307 Q8IWB6
TGFBR1 P36897 
TGFbR1 P36897
TGFBR2 P37173
TGFbR2 P37173 
TIE1 P35590 
TLK1 Q9UKI8 
TLK2 Q86UE8 
TNIK Q9UKE5 
TNK1 Q13470 
TNK2 Q07912 
ACK Q07912
TNNI3K Q59H18 
TP53RK Q96S44 
PRPK Q96S4T
TRIB1 Q96RU8	
TRB1 Q96RU8
Trb1 Q96RU8
TRIB2 Q92519
TRB2 Q92519	
Trb2 Q92519
TRIB3 Q96RU7	
TRB3 Q96RU7
Trb3 Q96RU7
TRIO O75962	
Trio O75962
TRPM6 Q9BX84 
TRPM7 Q96QT4 
TSSK1B Q9BXA7
TSSK1 Q9BXA7
TSSK2 Q96PF2	
TSSK3 Q96PN8	
TSSK4 Q6SA08	
Tssk5 Q8C1R0
TSSK6 Q9BXA6	
SSTK Q9BXA6
TTBK1 Q5TCY1	
TTBK2 Q6IQ55	
TTK P33981 
TTN Q8WZ42	
TXK P42681 
TYK2 P29597
TYK2a P29597
TYK2b P29597
TYRO3 Q06418 
UHMK1 Q8TAS1 
KIS Q8TAS1
ULK1 O75385 
ULK2 Q8IYT8 
ULK3 Q6PHR2 
ULK4 Q96C45 
VRK1 Q99986	
VRK2 Q86Y07	
